"task_id","title","description","type","status","priority","assignee","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","parent_id","dependencies","skills_required","risk_level","acceptance_criteria","capacity_allocation","testing_requirements","business_value"
"WI-FE-001","Develop Super Admin Service Area Map Editor","Develop React component using Mapbox GL JS to draw and edit service center territories.","Task","Sprint Backlog","Medium","frontend.dev@company.com","2025-05-21","12","5","frontend,mapbox,react","Sprint 2","Deliver core backend logic for products and routing, and enable admin configuration UI.","Web Portals & Mobile Apps","US-FE-001","US-FE-001","TASK-BE-004","React,Mapbox GL JS","Medium","Draw polygon; Edit vertices; Validate GeoJSON; Save to API","100%","Component Test & Manual UI Test","Admin configuration tool"
"TASK-MOB-001","Setup React Native Background Location Permissions","Configure Info.plist and AndroidManifest.xml. Implement permission request logic using react-native-permissions.","Task","Sprint Backlog","Critical","mobile.lead@company.com","2025-05-25","8","3","mobile,ios,android","Sprint 3","Focus on mobile technician capabilities including real-time tracking and offline resilience.","Mobile Applications","EPIC-MOBILE","WI-MOB-001","","React Native,iOS/Android Config","High","Permission dialogs correct; Graceful denial handling; Background modes enabled","100%","Manual test on devices","Enables tracking feature"
"TASK-MOB-002","Implement Background Service & GPS Capture","Integrate library to capture coords even when app killed/backgrounded.","Task","Sprint Backlog","Critical","mobile.lead@company.com","2025-05-27","14","5","mobile,background-service,gps","Sprint 3","Focus on mobile technician capabilities including real-time tracking and offline resilience.","Mobile Applications","EPIC-MOBILE","WI-MOB-001","TASK-MOB-001","React Native,Native Modules","High","Coords captured in background; Auto-restart on Android; Persistent notification","100%","Field test walk/drive","Core tracking capability"
"TASK-MOB-003","Implement WebSocket Client for Location Sync","Connect to backend WebSocket. Buffer locations when offline and flush when connected. Throttling logic.","Task","Sprint Backlog","High","mobile.dev@company.com","2025-05-29","10.3","5","mobile,websocket,offline-sync","Sprint 3","Focus on mobile technician capabilities including real-time tracking and offline resilience.","Mobile Applications","EPIC-MOBILE","WI-MOB-001","TASK-MOB-002","Socket.io,React Native","Medium","Secure WSS connection; Throttled updates; Offline queue syncing","100%","Network throttling simulation","Real-time updates"
"TASK-MOB-006","Setup WatermelonDB Schema & Migration","Configure local SQLite database with WatermelonDB. Define schema for Jobs, Actions, and SyncQueue.","Task","Sprint Backlog","High","mobile.architect@company.com","2025-05-26","10","3","mobile,database,offline","Sprint 3","Focus on mobile technician capabilities including real-time tracking and offline resilience.","Mobile Applications","EPIC-MOBILE","WI-MOB-003","","React Native,SQL,WatermelonDB","Medium","DB initializes on both platforms; Schema supports entities; Migrations defined","100%","Unit Test DB Init","Offline data persistence"
"TASK-MOB-007","Implement Offline Action Queue Logic","Create mechanism to intercept API calls when offline and persist them to SyncQueue table.","Task","Sprint Backlog","High","mobile.dev@company.com","2025-05-28","12.3","5","mobile,logic,queue","Sprint 3","Focus on mobile technician capabilities including real-time tracking and offline resilience.","Mobile Applications","EPIC-MOBILE","WI-MOB-003","TASK-MOB-006","Typescript,Logic Design","Medium","Requests stored offline; Correct serialization; FIFO order preserved","100%","Unit Tests with mocks","Action resilience"
"TASK-MOB-008","Implement Synchronization Manager","Process monitoring network state. Replay queue when online. Handle success/failure responses.","Task","Sprint Backlog","High","mobile.dev@company.com","2025-05-30","14","5","mobile,sync,network","Sprint 3","Focus on mobile technician capabilities including real-time tracking and offline resilience.","Mobile Applications","EPIC-MOBILE","WI-MOB-003","TASK-MOB-007","React Native,NetInfo","Medium","Auto-sync on reconnect; Retry logic for 5xx; Queue cleanup on success","100%","Integration Test with Mock Server","Data consistency"
"TASK-MOB-009","Implement Conflict Resolution & Error UI","UI for users to handle 4xx errors (e.g., job already closed). Strategy for data conflicts.","Task","Sprint Backlog","Medium","mobile.ui.dev@company.com","2025-06-02","10.3","3","mobile,ui,ux","Sprint 3","Focus on mobile technician capabilities including real-time tracking and offline resilience.","Mobile Applications","EPIC-MOBILE","WI-MOB-003","TASK-MOB-008","React Native UI","Medium","User notified of failures; UI to discard/retry; Last-Write-Wins logic","100%","Manual edge case testing","User error handling"
"TASK-BE-005","Geospatial Performance Optimization & Load Testing","Conduct load testing on routing logic, analyze query plans, and tune PostGIS indexes/Redis configuration.","Task","Sprint Backlog","Medium","backend.perf@company.com","2025-05-20","8.7","3","backend,performance,database","Sprint 2","Deliver core backend logic for products and routing, and enable admin configuration UI.","Core Backend Services","EPIC-CORE-BE","WI-BE-004","TASK-BE-004","Performance Testing,PostgreSQL Tuning","Medium","P95 latency < 200ms; Index usage confirmed; No timeouts","100%","k6 Benchmark Report","Scalability assurance"
"TASK-BE-006","Implement Integration Tests for Routing","Write integration tests using Testcontainers (Postgres + Redis) to verify end-to-end routing flows.","Task","Sprint Backlog","Medium","qa.automation@company.com","2025-05-22","10","3","qa,automation,integration","Sprint 2","Deliver core backend logic for products and routing, and enable admin configuration UI.","Core Backend Services","EPIC-CORE-BE","WI-BE-004","TASK-BE-004","Jest,Testcontainers","Low","Happy path covered; No-coverage edge case covered; Round-robin persistence verified","100%","CI Pipeline Pass","Quality assurance"
