"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-DOC-001","Implement Azure Blob Storage Service","Create a NestJS service wrapping `@azure/storage-blob` to upload files and generate SAS tokens for retrieval.","Task","Sprint Backlog","High","backend.dev@company.com","system.architect@company.com","2025-05-20","5.2","3","backend,azure-blob,storage","Sprint 2","Core Business Logic: Products, Docs, & Geospatial","Core Backend Services","EPIC-CORE-BE","Warranty Service Platform","US-017","TASK-INF-004","NestJS,Azure SDK","Medium","Medium","Uploads file to private container; Generates valid read-only SAS token; Handles errors gracefully","Service implemented; Unit tests passing","2025-05-15","2025-05-28","7%","None","None","Manual upload verification","None","Enables secure file handling"
"TASK-DOC-002","Implement File Upload Controller with Validation","Create API endpoint using `FileInterceptor`. Validate MIME type (pdf/jpg/png) and size (max 10MB). Call Storage Service.","Task","Sprint Backlog","High","backend.dev@company.com","tech.lead@company.com","2025-05-21","4","2","backend,api,validation","Sprint 2","Core Business Logic: Products, Docs, & Geospatial","Core Backend Services","EPIC-CORE-BE","Warranty Service Platform","US-017","TASK-DOC-001","NestJS,Multer","Low","Low","Rejects exe/zip files; Rejects files > 10MB; Returns file URL on success","Endpoint active; Tests passing","2025-05-15","2025-05-28","5%","None","None","Postman tests","None","Exposes upload capability"
"TASK-GEO-001","Implement Service Center Polygon Schema and Query","Define schema for Service Center polygons. Write PostGIS query to find centers containing a user point.","Task","Sprint Backlog","High","backend.dev@company.com","database.architect@company.com","2025-05-23","8","5","database,postgis,geospatial","Sprint 2","Core Business Logic: Products, Docs, & Geospatial","Core Backend Services","EPIC-CORE-BE","Warranty Service Platform","US-098","TASK-INF-003","PostGIS,SQL","High","High","Polygon data can be inserted; Query returns correct centers for a point; Spatial index active","Queries verified against test data; Latency benchmarks met","2025-05-15","2025-05-28","10%","None","None","Geospatial unit tests","Requires PostGIS","Core routing logic"
"TASK-GEO-002","Implement Round-Robin Assignment Logic","Implement service to handle ties (multiple centers covering one location). Use Redis to store last-assigned index per zone.","Task","Sprint Backlog","Medium","backend.dev@company.com","tech.lead@company.com","2025-05-25","9","5","backend,redis,algorithm","Sprint 2","Core Business Logic: Products, Docs, & Geospatial","Core Backend Services","EPIC-CORE-BE","Warranty Service Platform","US-098","TASK-GEO-001","NestJS,Redis","Medium","Medium","Rotates through eligible centers; State persists in Redis; Handles Redis failures gracefully","Service implemented; Load test verifies distribution","2025-05-15","2025-05-28","11%","None","None","Concurrency tests","None","Fair work distribution"
"TASK-MOB-001","Develop Warranty Card UI Component","Create React Native component displaying product details and dynamic status badge (Green/Amber/Red). Ensure accessibility labels.","Task","Sprint Backlog","Medium","frontend.dev@company.com","product.owner@company.com","2025-05-26","6","3","mobile,react-native,ui","Sprint 2","Core Business Logic: Products, Docs, & Geospatial","Mobile Applications","EPIC-MOBILE","Warranty Service Platform","US-032","","React Native,TypeScript","Low","Low","Matches design mockup; Badge color changes based on props; VoiceOver reads status","Component created and tested on simulator","2025-05-15","2025-05-28","8%","Designer","None","Visual snapshot tests","None","User interface for warranties"
"TASK-MOB-002","Integrate Warranty API in Mobile App","Implement data fetching logic (React Query) to call `GET /products` and feed data to Warranty Card components.","Task","Sprint Backlog","High","frontend.dev@company.com","tech.lead@company.com","2025-05-28","4.3","3","mobile,api-integration","Sprint 2","Core Business Logic: Products, Docs, & Geospatial","Mobile Applications","EPIC-MOBILE","Warranty Service Platform","US-032","TASK-PROD-002,TASK-MOB-001","React Native,TanStack Query","Medium","Medium","Data loads on screen open; Loading state handled; Error state handled","Integration verified in simulator","2025-05-15","2025-05-28","5%","Backend Team","None","Integration tests","None","Connects UI to real data"
"TASK-MOB-003","Setup WatermelonDB Schema and Models","Configure WatermelonDB. Define schemas for Product and Warranty. Set up database provider.","Task","Sprint Backlog","High","frontend.dev@company.com","mobile.architect@company.com","2025-05-30","8.3","5","mobile,database,offline","Sprint 3","Advanced Mobile Features & Analytics","Mobile Applications","EPIC-MOBILE","Warranty Service Platform","US-074","","React Native,Database","High","High","Database initializes; Schema matches backend; Basic CRUD works","Local DB operational; Schema verified","2025-05-29","2025-06-11","10%","None","None","Local CRUD unit tests","None","Enables offline capability"
"TASK-MOB-004","Implement Sync Service (Pull)","Implement synchronization logic to pull changes from backend and update local WatermelonDB using `synchronize()`.","Task","Sprint Backlog","High","frontend.dev@company.com","tech.lead@company.com","2025-06-02","10","5","mobile,sync,offline","Sprint 3","Advanced Mobile Features & Analytics","Mobile Applications","EPIC-MOBILE","Warranty Service Platform","US-074","TASK-MOB-003","React Native,Sync logic","High","High","Pulls new data; Updates local records; Handles errors silently","Sync working in test environment","2025-05-29","2025-06-11","13%","Backend Team","Backend Sync API","Sync integration tests","None","Data consistency"
"TASK-MOB-005","Implement Queue for Offline Actions","Create a queue system to store write actions (like Register Product) when offline.","Task","Sprint Backlog","Medium","frontend.dev@company.com","tech.lead@company.com","2025-06-03","4.2","3","mobile,state-management,offline","Sprint 3","Advanced Mobile Features & Analytics","Mobile Applications","EPIC-MOBILE","Warranty Service Platform","US-074","TASK-MOB-003","React Native,State Management","Medium","Medium","Actions stored when offline; Replayed when online; Persists on restart","Queue logic verified","2025-05-29","2025-06-11","5%","None","None","Airplane mode simulation","None","User experience resilience"
"TASK-MOB-006","Configure Background Location Native Modules","Install and configure `react-native-background-geolocation`. Configure Android Manifest (Foreground Service) and iOS Info.plist.","Task","Sprint Backlog","High","mobile.dev@company.com","mobile.architect@company.com","2025-06-05","8.7","5","mobile,native-modules,location","Sprint 3","Advanced Mobile Features & Analytics","Mobile Applications","EPIC-MOBILE","Warranty Service Platform","US-079","","React Native,Android,iOS","High","High","Permissions requested correctly; Background mode enabled; Build succeeds","App tracks location in background on device","2025-05-29","2025-06-11","11%","None","None","Physical device testing","Update privacy policy","Enables real-time tracking"
"TASK-MOB-007","Implement Location WebSocket Client","Create logic to stream coordinates to backend WebSocket when 'Travel Mode' is active.","Task","Sprint Backlog","Medium","mobile.dev@company.com","tech.lead@company.com","2025-06-06","8","3","mobile,websocket,real-time","Sprint 3","Advanced Mobile Features & Analytics","Mobile Applications","EPIC-MOBILE","Warranty Service Platform","US-079","TASK-MOB-006","WebSockets,React Native","Medium","Medium","Connects to WSS; Sends coords every 30s; Reconnects on drop","Data stream verified on backend","2025-05-29","2025-06-11","10%","Backend Team","None","Integration test","None","Real-time updates"
"TASK-WEB-002","Implement Analytics Charts with Recharts","Develop `AnalyticsWidget` component. Fetch data from API. Render Line/Bar charts for fault patterns.","Task","Sprint Backlog","Medium","frontend.dev@company.com","product.owner@company.com","2025-06-08","6","3","frontend,charts,analytics","Sprint 3","Advanced Mobile Features & Analytics","Web Portals","EPIC-WEB","Warranty Service Platform","US-086","TASK-WEB-001","React,Recharts","Medium","Low","Charts render data correctly; Tooltips working; Loading states handled","Visual verification of charts","2025-05-29","2025-06-11","8%","None","None","Component tests","None","Business insights"
"TASK-WEB-003","Integrate Mapbox for Geographic View","Implement `MapWidget` using `react-map-gl`. Render markers for service requests. Handle API key env vars.","Task","Sprint Backlog","Medium","frontend.dev@company.com","tech.lead@company.com","2025-06-09","6","3","frontend,mapbox,geospatial","Sprint 3","Advanced Mobile Features & Analytics","Web Portals","EPIC-WEB","Warranty Service Platform","US-086","TASK-WEB-001","React,Mapbox","Medium","Medium","Map loads centered; Markers appear; Zoom/Pan works","Map functioning in admin dashboard","2025-05-29","2025-06-11","8%","None","Mapbox API Key","Manual verification","Set MAPBOX_TOKEN","Geographic insights"
